rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,complete_revision_count,first_recorded_submission,last_recorded_submission,family_draft_count,maximum_lineage_depth,final_draft_revision_count,predecessor_revision_count,recorded_development_days
/api/v1/doc/document/rfc6803/,6803,rfc6803,Camellia Encryption for Kerberos 5,2012-11-20 08:23:24+00:00,2012,/api/v1/doc/document/draft-ietf-krb-wg-camellia-cts/,3,2011-10-06,2012-10-01,1,0,3,0,411
/api/v1/doc/document/rfc6804/,6804,rfc6804,DISCOVER: Supporting Multicast DNS Queries,2012-11-29 08:26:03+00:00,2012,/api/v1/doc/document/draft-manning-opcode-discover/,4,2012-01-13,2012-09-18,1,0,4,0,321
/api/v1/doc/document/rfc6805/,6805,rfc6805,The Application of the Path Computation Element Architecture to the Determination of a Sequence of Domains in MPLS and GMPLS,2012-11-22 08:24:47+00:00,2012,/api/v1/doc/document/draft-ietf-pce-hierarchy-fwk/,14,2009-03-04,2012-08-28,3,2,6,8,1359
/api/v1/doc/document/rfc6806/,6806,rfc6806,Kerberos Principal Name Canonicalization and Cross-Realm Referrals,2012-11-30 08:24:27+00:00,2012,/api/v1/doc/document/draft-ietf-krb-wg-kerberos-referrals/,6,2008-02-25,2012-09-23,1,0,6,0,1740
/api/v1/doc/document/rfc6807/,6807,rfc6807,Population Count Extensions to Protocol Independent Multicast (PIM),2012-12-06 08:24:43+00:00,2012,/api/v1/doc/document/draft-ietf-pim-pop-count/,8,2008-07-28,2012-10-04,2,1,8,0,1592
/api/v1/doc/document/rfc6808/,6808,rfc6808,Test Plan and Results Supporting Advancement of RFC 2679 on the Standards Track,2012-12-06 08:24:43+00:00,2012,/api/v1/doc/document/draft-ietf-ippm-testplan-rfc2679/,6,2011-03-07,2012-09-06,2,1,4,2,640
/api/v1/doc/document/rfc6809/,6809,rfc6809,Mechanism to Indicate Support of Features and Capabilities in the Session Initiation Protocol (SIP),2012-11-27 08:24:18+00:00,2012,/api/v1/doc/document/draft-ietf-sipcore-proxy-feature/,18,2010-09-24,2012-10-18,2,1,13,5,795
/api/v1/doc/document/rfc6813/,6813,rfc6813,The Network Endpoint Assessment (NEA) Asokan Attack Analysis,2012-12-13 08:25:44+00:00,2012,/api/v1/doc/document/draft-ietf-nea-asokan/,5,2010-10-18,2012-10-19,2,1,3,2,787
/api/v1/doc/document/rfc6814/,6814,rfc6814,Formally Deprecating Some IPv4 Options,2012-11-29 08:26:04+00:00,2012,/api/v1/doc/document/draft-gp-intarea-obsolete-ipv4-options-iana/,3,2012-02-29,2012-09-23,1,0,3,0,274
/api/v1/doc/document/rfc6815/,6815,rfc6815,Applicability Statement for RFC 2544: Use on Production Networks Considered Harmful,2012-11-30 08:24:28+00:00,2012,/api/v1/doc/document/draft-ietf-bmwg-2544-as/,10,2011-02-05,2012-10-22,2,1,9,1,664
/api/v1/doc/document/rfc6816/,6816,rfc6816,Simple Low-Density Parity Check (LDPC) Staircase Forward Error Correction (FEC) Scheme for FECFRAME,2012-12-22 08:26:31+00:00,2012,/api/v1/doc/document/draft-ietf-fecframe-ldpc/,5,2011-09-14,2012-10-09,1,0,5,0,465
/api/v1/doc/document/rfc6817/,6817,rfc6817,Low Extra Delay Background Transport (LEDBAT),2012-12-19 08:24:23+00:00,2012,/api/v1/doc/document/draft-ietf-ledbat-congestion/,11,2009-03-04,2012-09-25,2,1,10,1,1386
/api/v1/doc/document/rfc6821/,6821,rfc6821,Improving Peer Selection in Peer-to-peer Applications: Myths vs. Reality,2012-12-22 08:26:32+00:00,2012,/api/v1/doc/document/draft-irtf-p2prg-mythbustering/,6,2009-02-26,2012-09-20,2,1,4,2,1395
/api/v1/doc/document/rfc6822/,6822,rfc6822,IS-IS Multi-Instance,2012-12-22 08:26:32+00:00,2012,/api/v1/doc/document/draft-ietf-isis-mi/,9,2008-02-18,2012-10-19,1,0,9,0,1769
/api/v1/doc/document/rfc6823/,6823,rfc6823,Advertising Generic Information in IS-IS,2012-12-22 08:26:32+00:00,2012,/api/v1/doc/document/draft-ietf-isis-genapp/,5,2007-10-31,2010-11-10,1,0,5,0,1879
/api/v1/doc/document/rfc6760/,6760,rfc6760,Requirements for a Protocol to Replace the AppleTalk Name Binding Protocol (NBP),2013-02-20 22:06:03+00:00,2013,/api/v1/doc/document/draft-cheshire-dnsext-nbp/,5,2008-09-11,2011-01-12,1,0,5,0,1623
/api/v1/doc/document/rfc6761/,6761,rfc6761,Special-Use Domain Names,2013-02-20 22:06:04+00:00,2013,/api/v1/doc/document/draft-cheshire-dnsext-special-names/,4,2010-12-15,2012-09-19,1,0,4,0,798
/api/v1/doc/document/rfc6762/,6762,rfc6762,Multicast DNS,2013-02-20 22:06:04+00:00,2013,/api/v1/doc/document/draft-cheshire-dnsext-multicastdns/,9,2008-09-11,2011-12-09,1,0,9,0,1623
/api/v1/doc/document/rfc6763/,6763,rfc6763,DNS-Based Service Discovery,2013-02-20 22:06:04+00:00,2013,/api/v1/doc/document/draft-cheshire-dnsext-dns-sd/,7,2008-09-11,2011-12-09,2,1,7,0,1623
